Código Antiguo;Código Vigente;Código Madre Antiguo;Código Madre Nuevo;RegionCodigo;RegionGlosa;SeremiSaludCodigo_ServicioDeSaludCodigo;SeremiSaludGlosa_ServicioDeSaludGlosa;TipoPertenenciaEstabGlosa;TipoEstablecimientoGlosa;Ámbito de Funcionamiento;Nombre Oficial;Certificación;Dependencia Administrativa;NivelAtencionEstabglosa;ComunaCódigo;ComunaGlosa;TipoViaGlosa;Número;Nombredevía;TelefonoMovil_TelefonoFijo;Fecha Inicio Funcionamiento;Tiene Servicio de Urgencia;Tipo de Urgencia;Clasificación Tipo de SAPU;LatitudGlosa;LongitudGlosa;TipoSistemaSaludGlosa;Estado de Funcionamiento;NivelComplejidadEstabGlosa;Tipo de Atención;Fecha de Incorporación a la base
09-310;109310;;;13;Región Metropolitana de Santiago;9;Servicio de Salud Metropolitano Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Colina;Centro de Salud Familiar;Municipal;Primario;13301;Colina;Calle;540;Alpatacal;800500151;;NO;No Aplica;No Aplica;-33,205979;-70,670553;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
06-402;106402;;;5;Región De Valparaíso;6;Servicio de Salud Valparaíso San Antonio;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Quintay;No Aplica;Municipal;Primario;5102;Casablanca;Calle;;Caleta Quintay;;;NO;No Aplica;No Aplica;-33,195771;-71,695986;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
09-640;109640;09-010;109010;13;Región Metropolitana de Santiago;9;Servicio de Salud Metropolitano Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Mental  (COSAM);Unidad de Atención;COSAM Colina;No Aplica;Municipal;Secundario;13301;Colina;Pasaje;269;Amanda Labarca;228441851;;NO;No Aplica;No Aplica;-33,195683;-70,676615;Público ;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
09-316;109316;;;13;Región Metropolitana de Santiago;9;Servicio de Salud Metropolitano Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Esmeralda;Centro de Salud Familiar;Municipal;Primario;13301;Colina;Calle;;Carretera General San Martín, Km. 31;225751450;;NO;No Aplica;No Aplica;-33,184133;-70,653657;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
09-914;200955;09-316;109316;13;Región Metropolitana de Santiago;9;Servicio de Salud Metropolitano Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;SAPU Esmeralda;No Aplica;Municipal;Primario;13301;Colina;Calle;;Carretera General San Martín, Km. 31;225751450;;SI;Urgencia Ambulatoria (SAPU);Corto;-33,184133;-70,653657;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
09-716;109716;09-316;109316;13;Región Metropolitana de Santiago;9;Servicio de Salud Metropolitano Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Esmeralda;No Aplica;Municipal;Primario;13301;Colina;Calle;2008;Atena;;;NO;No Aplica;No Aplica;-33,183727;-70,663439;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
07-400;107400;;;5;Región De Valparaíso;7;Servicio de Salud Viña del Mar Quillota;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Colliguay;No Aplica;Municipal;Primario;5801;Quilpué;Calle;;Aldea Colliguay;322721502;;NO;No Aplica;No Aplica;-33,170428;-71,14006;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
09-414;109414;;;13;Región Metropolitana de Santiago;9;Servicio de Salud Metropolitano Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Polpaico;No Aplica;Municipal;Primario;13303;Tiltil;Calle;;Estación Principal y Darío Ovalle;;;NO;No Aplica;No Aplica;-33,167398;-70,887052;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
09-912;200898;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro Medico Huertos Familiares;No Aplica;Privado;Primario;13303;Tiltil;Avenida;361;3 Oriente, Huertos Familiares;232504433;;NO;No Aplica;No Aplica;-33,140344;-70,814156;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
09-320;109320;;;13;Región Metropolitana de Santiago;9;Servicio de Salud Metropolitano Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Huertos Familiares;Centro de Salud Familiar;Municipal;Primario;13303;Tiltil;Calle;221;3 Oriente ;225751450;;NO;No Aplica;No Aplica;-33,135821;-70,799456;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
09-911;200744;09-320;109320;13;Región Metropolitana de Santiago;9;Servicio de Salud Metropolitano Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Urgencia Rural (SUR);Establecimiento de Salud;SUR Huertos Familiares;No Aplica;Municipal;Primario;13303;Tiltil;Calle;221;3 Oriente ;225751450;;SI;Urgencia Ambulatoria (SUR);No Aplica;-33,135329;-70,795754;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
06-804;106804;06-304;106304;5;Región De Valparaíso;6;Servicio de Salud Valparaíso San Antonio;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;SAPU Placilla;No Aplica;Municipal;Primario;5101;Valparaíso;Avenida;;Octava;322136133;;SI;Urgencia Ambulatoria (SAPU);Corto;-33,112914;-71,566161;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
06-304;106304;;;5;Región De Valparaíso;6;Servicio de Salud Valparaíso San Antonio;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Placilla;Centro de Salud Familiar;Municipal;Primario;5101;Valparaíso;Avenida;;Central;800500510;;NO;No Aplica;No Aplica;-33,112857;-71,566016;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
06-914;200731;06-401;106401;5;Región De Valparaíso;6;Servicio de Salud Valparaíso San Antonio;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Urgencia Rural (SUR);Establecimiento de Salud;SUR Laguna Verde;No Aplica;Municipal;Primario;5101;Valparaíso;Calle;;Galvarino;;;SI;Urgencia Ambulatoria (SUR);No Aplica;-33,104226;-71,667873;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
06-401;106401;;;5;Región De Valparaíso;6;Servicio de Salud Valparaíso San Antonio;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Laguna Verde;No Aplica;Municipal;Primario;5101;Valparaíso;Calle;;Galvarino;322135048;;NO;No Aplica;No Aplica;-33,09878;-71,662495;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;28-02-2023
09-642;109642;09-010;109010;13;Región Metropolitana de Santiago;9;Servicio de Salud Metropolitano Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Mental  (COSAM);Unidad de Atención;COSAM Til Til;No Aplica;Municipal;Secundario;13303;Tiltil;Calle;100;Daniel Moya ;225751750;;NO;No Aplica;No Aplica;-33,086793;-70,924522;Público ;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
09-104;109104;;;13;Región Metropolitana de Santiago;9;Servicio de Salud Metropolitano Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Hospital de Til Til;No Aplica;Servicio de Salud;Primario;13303;Tiltil;Calle;100;Daniel Moya ;225751700;;SI;Urgencia Hospitalaria (UEH);No Aplica;-33,086793;-70,924522;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Cerrada-Hospitalaria;
09-416;109416;;;13;Región Metropolitana de Santiago;9;Servicio de Salud Metropolitano Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Colorado;No Aplica;Municipal;Primario;13301;Colina;Calle;;Calle Colorado sitio 4 D, Aldea El Colorado;;;NO;No Aplica;No Aplica;-33,07437;-70,717669;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
07-353;107353;;;5;Región De Valparaíso;7;Servicio de Salud Viña del Mar Quillota;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Alcalde Iván Manríquez;Centro de Salud Familiar;Municipal;Primario;5801;Quilpué;Calle;2949;Quinchamalí;322333819;;NO;No Aplica;No Aplica;-33,073363;-71,421848;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
06-213;106213;;;5;Región De Valparaíso;5;SEREMI De Valparaíso;No Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Complejo Penitenciario;No Aplica;Gendamería;;5101;Valparaíso;Calle;665;La Pólvora;322279150;01-01-2009;NO;No Aplica;No Aplica;-33,066338;-71,632927;Fuerzas Armadas y de Orden;Vigente en Operación Habitual;Baja Complejidad;Atención Cerrada-Hospitalaria;
;201086;;;5;Región De Valparaíso;6;Servicio de Salud Valparaíso San Antonio;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Juan Pablo II de Rodelillo;No Aplica;Municipal;Primario;5101;Valparaíso;Calle;542; Juan Pablo II ;322136370;08-06-2021;NO;No Aplica;No Aplica;-33,06352143;-71,564494;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
06-903;200109;06-303;106303;5;Región De Valparaíso;6;Servicio de Salud Valparaíso San Antonio;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;SAPU Reina Isabel II;No Aplica;Municipal;Primario;5101;Valparaíso;Avenida;1926;Washington;322136700;;SI;Urgencia Ambulatoria (SAPU);Corto;-33,061061;-71,592518;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
06-303;106303;;;5;Región De Valparaíso;6;Servicio de Salud Valparaíso San Antonio;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Reina Isabel II;Centro de Salud Familiar;Municipal;Primario;5101;Valparaíso;Avenida;1926;Washington;800500512;;NO;No Aplica;No Aplica;-33,060844;-71,592492;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
07-808;107808;07-308;107308;5;Región De Valparaíso;7;Servicio de Salud Viña del Mar Quillota;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR);Establecimiento de Salud;SAR El Belloto Sur;No Aplica;Municipal;Primario;5801;Quilpué;Calle;610;Troncos Viejos;322722682;18-05-2023;SI;Urgencia Ambulatoria (SAR);No Aplica;-33,059169;-71,408372;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;31-07-2023
07-308;107308;;;5;Región De Valparaíso;7;Servicio de Salud Viña del Mar Quillota;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar El Belloto;Centro de Salud Familiar;Municipal;Primario;5801;Quilpué;Calle;;Troncos Viejos;322928691;;NO;No Aplica;No Aplica;-33,05915;-71,408129;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
07-727;107727;07-327;107327;5;Región De Valparaíso;7;Servicio de Salud Viña del Mar Quillota;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Las Palmas;No Aplica;Municipal;Primario;5109;Viña del Mar;Calle;185;Río Toltén ;328872241;;NO;No Aplica;No Aplica;-33,058845;-71,53753;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
06-306;106306;;;5;Región De Valparaíso;6;Servicio de Salud Valparaíso San Antonio;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Las Cañas;Centro de Salud Familiar;Municipal;Primario;5101;Valparaíso;Calle;;Los Alerces;800500511;;NO;No Aplica;No Aplica;-33,058761;-71,607124;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
06-312;106312;;;5;Región De Valparaíso;6;Servicio de Salud Valparaíso San Antonio;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Puertas Negras;Centro de Salud Familiar;Municipal;Primario;5101;Valparaíso;Calle;;Montedónico;800500514;;NO;No Aplica;No Aplica;-33,058539;-71,638998;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
06-334;106334;;;5;Región De Valparaíso;6;Servicio de Salud Valparaíso San Antonio;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Padre Damián Molokai;Centro de Salud Familiar;Municipal;Primario;5101;Valparaíso;Calle;2055;Cabritería Norte;800500518;;NO;No Aplica;No Aplica;-33,057576;-71,561684;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
07-328;107328;;;5;Región De Valparaíso;7;Servicio de Salud Viña del Mar Quillota;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Eduardo Frei Montalva;Centro de Salud Familiar;Municipal;Primario;5804;Villa Alemana;Calle;;Rivadavia;800500531;;NO;No Aplica;No Aplica;-33,057153;-71,376253;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
07-828;107828;07-328;107328;5;Región De Valparaíso;7;Servicio de Salud Viña del Mar Quillota;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;SAPU Eduardo Frei Montalva;No Aplica;Municipal;Primario;5804;Villa Alemana;Calle;;Rivadavia;323243511;;SI;Urgencia Ambulatoria (SAPU);Corto;-33,057073;-71,376086;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
06-102;106102;;;5;Región De Valparaíso;6;Servicio de Salud Valparaíso San Antonio;Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Hospital Dr. Eduardo Pereira Ramírez (Valparaíso);Autogestionado en Red (EAR);Servicio de Salud;Terciario;5101;Valparaíso;Calle;;Ibsen;322577310;;NO;No Aplica;No Aplica;-33,05679;-71,58962;Público ;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-Hospitalaria;
06-330;106330;;;5;Región De Valparaíso;6;Servicio de Salud Valparaíso San Antonio;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar San José de Rodelillo;Centro de Salud Familiar;Municipal;Primario;5101;Valparaíso;Pasaje;4350;La Merced;800500517;;NO;No Aplica;No Aplica;-33,056307;-71,577235;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
07-351;107351;;;5;Región De Valparaíso;7;Servicio de Salud Viña del Mar Quillota;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Juan Bautista Bravo Vega;Centro de Salud Familiar;Municipal;Primario;5804;Villa Alemana;Calle;750;Las Araucarias;322941176;;NO;No Aplica;No Aplica;-33,055448;-71,390692;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
06-207;106207;;;5;Región De Valparaíso;5;SEREMI De Valparaíso;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro Corporación para la Nutrición Infantil (CONIN);Establecimiento de Salud;Centro CONIN Valparaíso;No Aplica;Privado;No Aplica;5101;Valparaíso;Calle;;Ferrari;322250163;01-01-2009;NO;No Aplica;No Aplica;-33,05509;-71,622901;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Cerrada-Hospitalaria;
07-357;107357;;;5;Región De Valparaíso;7;Servicio de Salud Viña del Mar Quillota;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Pompeya;Centro de Salud Familiar;Municipal;Primario;5801;Quilpué;Calle;;Sector Pompeya;322923617;;NO;No Aplica;No Aplica;-33,054391;-71,466389;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
07-906;200112;07-357;107357;5;Región De Valparaíso;7;Servicio de Salud Viña del Mar Quillota;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;SAPU Pompeya;No Aplica;Municipal;Primario;5801;Quilpué;Calle;;Sector Pompeya;322923617;;SI;Urgencia Ambulatoria (SAPU);Corto;-33,054379;-71,466472;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
07-401;107401;;;5;Región De Valparaíso;7;Servicio de Salud Viña del Mar Quillota;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Quebrada Alvarado;No Aplica;Municipal;Primario;5803;Olmué;Calle;;Aldea Quebrada Alvarado;;;NO;No Aplica;No Aplica;-33,053975;-71,108138;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
06-919;200927;;;5;Región De Valparaíso;5;SEREMI De Valparaíso;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio clínico Corporación Municipal de Valparaíso;No Aplica;Privado;No Aplica;5101;Valparaíso;Calle;32;Washington;32-2135130;11-08-2020;NO;No Aplica;No Aplica;-33,053298;-71,601689;Privado;Vigente en Operación Habitual;;No Aplica;
;201237;;;5;Región De Valparaíso;5;SEREMI De Valparaíso;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica Dental;Establecimiento de Salud;Centro Odontológico Uno Salud Dental San Felipe;No Aplica;Privado;No Aplica;5701;San Felipe;Calle;692;Arturo Prat ;6007071010;01-08-2022;NO;No Aplica;No Aplica;-32,7495995;-70,7268982;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
06-305;106305;;;5;Región De Valparaíso;6;Servicio de Salud Valparaíso San Antonio;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Jean y Marie Thierry;Centro de Salud Familiar;Servicio de Salud;Primario;5101;Valparaíso;Calle;985;Blas Cuevas ;322571650;;NO;No Aplica;No Aplica;-33,052783;-71,609986;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
06-150;106150;;;5;Región De Valparaíso;6;Servicio de Salud Valparaíso San Antonio;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Especialidad;Establecimiento de Salud;Centro de Sangre y Tejidos IV y V Región;No Aplica;Servicio de Salud;Secundario;5101;Valparaíso;Calle;985;Blas Cuevas ;322257660;;NO;No Aplica;No Aplica;-33,052658;-71,609776;Público ;Vigente en Operación Habitual;Alta Complejidad;Atención Abierta-Ambulatoria;
;200666;;;5;Región De Valparaíso;;;No Aplica;Servicio Médico Legal;Establecimiento Medicina Legal;Servicio Médico Legal Valparaíso;No Aplica;Ministerio de Justicia ;No Aplica;5101;Valparaíso;Calle;954;Orella;(32)2217023;;NO;No Aplica;No Aplica;-33,05237474;-71,60832992;Institución Medicina Legal;Vigente en Operación Habitual;;No Aplica;
06-245;106245;;;5;Región De Valparaíso;5;SEREMI De Valparaíso;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Docencia e Investigación Científica (Universidad de Valparaíso);No Aplica;Privado;No Aplica;5101;Valparaíso;Calle;2653;Hontaneda;322507300;01-01-2009;NO;No Aplica;No Aplica;-33,052022;-71,608461;Privado;Vigente en Operación Habitual;;No Aplica;
07-102;107102;;;5;Región De Valparaíso;7;Servicio de Salud Viña del Mar Quillota;Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Hospital de Quilpué;Autogestionado en Red (EAR);Servicio de Salud;Terciario;5801;Quilpué;Calle;1270;San Martín ;322759010;;SI;Urgencia Hospitalaria (UEH);No Aplica;-33,051961;-71,433933;Público ;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-Hospitalaria;
07-307;107307;;;5;Región De Valparaíso;7;Servicio de Salud Viña del Mar Quillota;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Quilpué;Centro de Salud Familiar;Municipal;Primario;5801;Quilpué;Calle;1490;Covadonga;322721502;;NO;No Aplica;No Aplica;-33,050686;-71,433569;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
06-100;106100;;;5;Región De Valparaíso;6;Servicio de Salud Valparaíso San Antonio;Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Hospital Carlos Van Buren (Valparaíso);Autogestionado en Red (EAR);Servicio de Salud;Terciario;5101;Valparaíso;Calle;725;San Ignacio ;322204000;;SI;Urgencia Hospitalaria (UEH);No Aplica;-33,050258;-71,611098;Público ;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-Hospitalaria;
06-238;106238;;;5;Región De Valparaíso;5;SEREMI De Valparaíso;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro de Salud ASOMEL;No Aplica;Privado;Secundario;5101;Valparaíso;Calle;2020;Colón;322217194;01-01-2009;NO;No Aplica;No Aplica;-33,049302;-71,616068;Privado;Vigente en Operación Habitual;Pendiente;Atención Abierta-Ambulatoria;
06-904;200268;06-305;106305;5;Región De Valparaíso;6;Servicio de Salud Valparaíso San Antonio;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR);Establecimiento de Salud;SAR Plan de Valparaíso;No Aplica;Servicio de Salud;Primario;5101;Valparaíso;Avenida;1970;Colon;322571731;29-04-2016;SI;Urgencia Ambulatoria (SAR);No Aplica;-33,049205;-71,616665;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
06-307;106307;;;5;Región De Valparaíso;6;Servicio de Salud Valparaíso San Antonio;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Marcelo Mena;Centro de Salud Familiar;Municipal;Primario;5101;Valparaíso;Avenida;5360;Alemania;800500512;;NO;No Aplica;No Aplica;-33,04907;-71,631253;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
06-902;200108;06-307;106307;5;Región De Valparaíso;6;Servicio de Salud Valparaíso San Antonio;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;SAPU Marcelo Mena;No Aplica;Municipal;Primario;5101;Valparaíso;Avenida;5360;Alemania;322250228;;SI;Urgencia Ambulatoria (SAPU);Corto;-33,048999;-71,631389;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
07-208;107208;;;5;Región De Valparaíso;5;SEREMI De Valparaíso;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica Los Carrera;No Aplica;Privado;Terciario;5801;Quilpué;Calle;958;Caupolicán;322539800;01-01-2009;SI;Urgencia Hospitalaria (UEH);No Aplica;-33,048513;-71,436021;Privado;Vigente en Operación Habitual;Pendiente;Atención Cerrada-Hospitalaria;
07-941;200636;;;5;Región De Valparaíso;5;SEREMI De Valparaíso;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro Médico CENTROMED;No Aplica;Privado;Secundario;5801;Quilpué;Avenida;606;Los Carrera;;31-03-2015;NO;No Aplica;No Aplica;-33,048368;-71,444583;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
07-300;107300;;;5;Región De Valparaíso;7;Servicio de Salud Viña del Mar Quillota;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Nueva Aurora;Centro de Salud Familiar;Municipal;Primario;5109;Viña del Mar;Calle;;Agua Santa;322611419;;NO;No Aplica;No Aplica;-33,048096;-71,564574;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
07-800;107800;07-300;107300;5;Región De Valparaíso;7;Servicio de Salud Viña del Mar Quillota;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;SAPU Nueva Aurora;No Aplica;Municipal;Primario;5109;Viña del Mar;Calle;;Agua Santa;322611419;;SI;Urgencia Ambulatoria (SAPU);Largo;-33,04773;-71,564586;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
06-259;106259;;;5;Región De Valparaíso;5;SEREMI De Valparaíso;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro Médico del Niño y Adolescente de Valparaíso;No Aplica;Privado;Secundario;5101;Valparaíso;Calle;660;Edwards;322501630;01-01-2009;NO;No Aplica;No Aplica;-33,04734;-71,61986;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
07-916;200420;;;5;Región De Valparaíso;5;SEREMI De Valparaíso;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico INSI S. A.;No Aplica;Privado;No Aplica;5801;Quilpué;Calle;874;Vicuña Mackenna, local 2-3 y of. 212-213;322917988;03-10-2014;NO;No Aplica;No Aplica;-33,04728;-71,444624;Privado;Vigente en Operación Habitual;;No Aplica;
15-923;200527;;;6;Región Del Libertador Gral. B. O'Higgins;6;SEREMI Del Libertador Gral. B. O'Higgins;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica Dental;Establecimiento de Salud;Centro Odontológico Uno Salud Dental San Fernando;No Aplica;Privado;No Aplica;6301;San Fernando;Avenida;701;Bernardo O´Higgins, Local 110, 114, 118, 122, 126 y 130;227638962;15-03-2017;NO;No Aplica;No Aplica;-34,586604;-70,985131;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
